Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"CullenFrost Bankers, Inc.","CFR","218","5","C"
"Compagnie Financiere Richemont AG","CFRUY","152","3","D"
"Colfax Corporation","CFX","219","4","C"
"The Carlyle Group L.P.","CG","63","3","C"
"TCG BDC, Inc.","CGBD","152","3","F"
"Canopy Growth Corporation","CGC","68","3","F"
"Cognex Corporation","CGNX","135","3","D"
"China Telecom Corp Ltd","CHA","50","2","A"
"City Holding Company","CHCO","247","3","A"
"Community Healthcare Trust Incorporated","CHCT","80","3","C"
"Churchill Downs, Incorporated","CHDN","120","5","F"
"Chemed Corporation","CHE","79","3","B"
"CHINA EVERBRIHT","CHFFF","183","3","A"
"Sunshine Heart Inc","CHFS","69","1","C"
"Choice Hotels International, Inc.","CHH","207","3","F"
"Check Point Software Technologies Ltd.","CHKP","59","3","C"
"China Mobile Hong Kong Ltd.","CHL","121","2","A"
"Chemung Financial Corp","CHMG","247","4","D"
"Cherry Hill Mortgage Investment Corporation","CHMI","203","5","C"
"Change Healthcare Inc.","CHNG","69","4","C"
"C.H. Robinson Worldwide, Inc.","CHRW","206","4","D"
"Chicos FAS, Inc.","CHS","195","3","A"
"Chunghwa Telecom Co., Ltd.","CHT","72","2","C"
"Charter Communications, Inc.","CHTR","126","3","B"
"China Unicom Hong Kong Ltd","CHU","121","3","A"
"Chuys Holdings, Inc.","CHUY","167","3","C"
"Chiyoda Corp. Unsponsored ADR","CHYCY","160","2","A"
"Cigna Corporation","CI","141","3","A"
"CHINA MENGNIU","CIADY","212","4","B"
"BanColombia S.A.","CIB","165","5","D"
"China Construction Bank Corp.","CICHY","165","3","C"
"Colliers International Group Inc.","CIGI","139","4","F"
"China Merchants Bank Co.","CIHKY","165","3","C"
"Chimera Investment Corporation","CIM","203","4","F"
"Cincinnati Financial Corporation","CINF","141","4","B"
"City Office REIT, Inc.","CIO","80","3","B"
"CIRCOR International, Inc.","CIR","227","4","A"
"CIT Group Inc.","CIT","152","4","F"
"Civista Bancshares, Inc.","CIVB","236","4","B"
"CHOW TAI FOOK","CJEWY","152","3","A"
"Central Japan Railway Co.","CJPRY","222","4","A"
"SEACOR Holdings, Inc.","CKH","78","4","A"
"Clarus Corporation","CLAR","135","3","D"
"Core Laboratories N.V.","CLB","78","3","B"
"COLUMBIA FINL","CLBK","152","3","F"
"Chatham Lodging Trust REIT","CLDT","80","3","F"
"Clearfield, Inc.","CLFD","59","3","B"
"CoreLogic, Inc.","CLGX","152","2","A"
"Clean Harbors, Inc.","CLH","183","5","C"
"MackCali Realty Corporation","CLI","80","3","C"
"Calumet Specialty Products Partners, L.P.","CLMT","125","3","D"
"COLONY CREDIT REAL ESTATE, INC.","CLNC","203","4","D"
"COLONY CAPITAL, INC.","CLNY","80","3","F"
"CLP Holdings Ltd.","CLPHY","76","2","B"
"Clipper Realty Inc.","CLPR","80","3","B"
"MRI Interventions, Inc.","CLPT","69","3","F"
"Cellectar Biosciences, Inc.","CLRB","68","3","D"
"Celestica, Inc.","CLS","81","2","A"
"Cleanspark, Inc.","CLSK","75","2","C"
"Town Sports International Holdings, Inc.","CLUB","121","2","B"
"Clearwater Paper Corporation","CLW","152","2","B"
"Calyxt, Inc.","CLXT","81","3","F"
"Canadian Imperial Bank of Commerce","CM","165","4","F"
"Comerica Incorporated","CMA","247","4","C"
"Cambium Networks Corporation","CMBM","50","3","C"
"Commercial Metals Company","CMC","167","3","A"
"Columbus McKinnon Corporation","CMCO","81","5","A"
"Comcast Corporation","CMCSA","126","3","B"
"CIM Commercial Trust Corporation","CMCT","203","4","D"
"Cantel Medical Corp.","CMD","69","4","C"
"Chipotle Mexican Grill, Inc.","CMG","167","4","D"
"Cummins Inc.","CMI","81","3","B"
"Cumulus Media, Inc.","CMLS","161","5","B"
"Capstead Mortgage Corporation","CMO","203","3","B"
"Compass Minerals International, Inc.","CMP","192","3","A"
"Compass Group PLC","CMPGY","167","3","A"
"Cimpress plc","CMPR","212","5","B"
"Costamare Inc.","CMRE","69","3","A"
"Chimerix, Inc.","CMRX","68","3","C"
"CMS Energy Corporation","CMS","76","3","D"
"Comtech Telecommunications Corp.","CMTL","59","4","A"
"Commonwealth Bank of Australia Sponsored ADR","CMWAY","165","3","D"
"CNA Financial Corporation","CNA","141","3","C"
"Centene Corporation","CNC","81","3","B"
"Conduent Inc.","CNDT","223","3","C"
"Conifer Holdings, Inc.","CNFR","141","3","C"
"CNH Industrial N.V.","CNHI","243","3","F"
"Canadian National Railway Company","CNI","222","3","B"
"Cinemark Holdings Inc","CNK","121","3","B"
"CONMED Corporation","CNMD","167","3","F"
"Fidelity National Financial, Inc.","CNNE","161","3","F"
"CNO Financial Group, Inc.","CNO","141","3","A"
"ConnectOne Bancorp, Inc.","CNOB","219","4","C"
"CenterPoint Energy, Inc.","CNP","76","3","A"
"NCI Building Systems, Inc.","CNR","219","4","F"
"Cohen  Steers Inc","CNS","161","4","F"
"Centogene N.V.","CNTG","69","3","D"
"Century Casinos, Inc.","CNTY","120","4","D"
"CNX Midstream Partners LP","CNXM","167","5","C"
"PC Connection, Inc.","CNXN","81","3","A"
"Compass Diversified Holdings","CODI","63","4","C"
"CoDiagnostics, Inc.","CODX","63","1","D"
"Capital One Financial Corporation","COF","227","4","C"
"Cohu, Inc.","COHU","126","4","B"
"Croda International PLC Unsponsored ADR","COIHY","150","3","C"
"Columbia Banking System, Inc.","COLB","141","4","D"
"Americold Realty Trust","COLD","80","3","B"
"Columbia Sportswear Company","COLM","195","3","F"
"CyrusOne Inc","CONE","80","3","A"
"Conns, Inc.","CONN","212","3","C"
"The Cooper Companies, Inc.","COO","167","3","B"
"MR. COOPER GROUP INC","COOP","227","4","A"
"ConocoPhillips","COP","81","3","D"
"CoreSite Realty Corporation","COR","80","3","C"
"CoreMark Holding Company, Inc.","CORE","56","3","A"
"CorEnergy Infrastructure Trust, Inc.","CORR","80","3","C"
"Costco Wholesale Corporation","COST","231","3","B"
"Coty Inc.","COTY","163","3","F"
"Covestro AG Sponsored ADR","COVTY","167","3","B"
"Cowen Group, Inc.","COWN","150","4","F"
"Canadian Pacific Railway Limited","CP","222","3","B"
"Copa Holdings, S.A.","CPA","135","3","C"
"Cathay Pacific Airways Ltd.","CPCAY","135","3","C"
"CPB Inc.","CPF","141","2","C"
"COREPOINT LODGE","CPLG","80","3","B"
"Capital Product Partners L.P.","CPLP","69","4","A"
"Capri Holdings Limited","CPRI","195","5","B"
"Copart, Inc.","CPRT","81","4","D"
"Computer Programs and Systems, Inc.","CPSI","69","4","A"
"Consumer Portfolio Services, Inc.","CPSS","152","3","A"
"Capstone Turbine Corporation","CPST","148","3","F"
"Camden Property Trust","CPT","126","3","C"
"Capitala Finance Corp.","CPTA","152","3","F"
"Crane Company","CR","183","4","F"
"Charles River Associates","CRAI","152","3","C"
"Credit Agricole SA","CRARY","165","3","D"
"Hickok Inc.","CRAWA","219","2","A"
"Crawford  Company","CRD.B","56","3","C"
"CRH PLC","CRH","203","5","A"
"China Resources Enterprise Ltd.","CRHKY","183","3","C"
"CRH Medical Corporation","CRHM","69","4","C"
"Carters, Inc.","CRI","235","4","F"
"Charles River Laboratories International, Inc.","CRL","63","3","C"
"salesforce.com, inc.","CRM","81","3","C"
"Americas CarMart, Inc.","CRMT","207","4","C"
"Cerence Inc.","CRNC","81","3","D"
"Ceragon Networks Ltd.","CRNT","121","4","F"
"Cronos Group Inc.","CRON","161","2","F"
"Crocs, Inc.","CROX","195","3","F"
"China Resources Power Holdings Co.","CRPJY","76","3","A"
"Carrefour SA","CRRFY","131","3","A"
"Carpenter Technology Corporation","CRS","195","5","A"
"Criteo S.A.","CRTO","56","5","A"
"CryoLife, Inc.","CRY","69","3","F"
"Commerzbank AG","CRZBY","165","3","F"
"Credit Suisse Group","CS","165","3","F"
"Cisco Systems, Inc.","CSCO","56","2","B"
"CenterState Bank Corporation","CSFL","247","4","C"
"CoStar Group, Inc.","CSGP","81","3","C"
"CSG Systems International, Inc.","CSGS","167","2","D"
"Cardiovascular Systems, Inc.","CSII","68","3","F"
"Canadian Solar Inc.","CSIQ","50","2","A"
"Carlisle Companies Incorporated","CSL","183","4","B"
"Cornerstone OnDemand, Inc.","CSOD","81","3","C"
"Casper Sleep Inc.","CSPR","192","3","D"
"Caesarstone Ltd.","CSTE","203","3","B"
"Capstar Financial Holdings Inc.","CSTR","247","3","D"
"China Shenhua Energy Co.","CSUAY","63","3","B"
"Carriage Services, Inc.","CSV","236","4","B"
"Capital Southwest Corporation","CSWC","161","4","F"
"CSX Corporation","CSX","222","4","C"
"CAPITA PLC","CTAGY","56","3","A"
"Cintas Corporation","CTAS","183","3","B"
"Cooper Tire  Rubber Company","CTB","167","3","D"
"Community Trust Bancorp, Inc.","CTBI","247","3","C"
"Charles  Colvard Ltd","CTHR","81","3","A"
"CenturyLink, Inc.","CTL","50","3","A"
"ConsolidatedTomoka Land Co.","CTO","139","1","D"
"CONTURA ENERGY","CTRA","63","2","A"
"CareTrust REIT, Inc.","CTRE","80","4","D"
"Country Garden Holdings Co.","CTRYY","183","5","B"
"CTS Corporation","CTS","144","4","D"
"Cognizant Technology Solutions Corporation","CTSH","126","4","B"
"CatchMark Timber Trust, Inc.","CTT","163","2","C"
"Continental AG","CTTAY","165","3","C"
"Corteva, Inc.","CTVA","81","3","D"
"Citrix Systems, Inc.","CTXS","81","2","B"
"Cubic Corporation","CUB","121","4","D"
"CubeSmart","CUBE","80","3","D"
"Customers Bancorp, Inc","CUBI","247","3","D"
"Culp, Inc.","CULP","240","3","B"
"CURO Group Holdings Corp.","CURO","227","5","A"
"Cutera, Inc.","CUTR","63","4","F"
"Cousins Properties Incorporated","CUZ","80","3","D"
"CVB Financial Corporation","CVBF","141","4","C"
"Central Valley Community Bancorp","CVCY","141","2","C"
"Cenovus Energy Inc","CVE","183","4","F"
"Civeo Corporation","CVEO","207","3","B"
"Commercial Vehicle Group, Inc.","CVGI","165","3","B"
"Calavo Growers, Inc.","CVGW","81","4","F"
"CommVault Systems, Inc.","CVLT","81","3","C"
"CVS Health Corporation","CVS","195","3","A"
"Covenant Transportation Group, Inc.","CVTI","207","3","B"
"Chevron Corporation","CVX","148","3","B"
"CurtissWright Corporation","CW","211","3","D"
"Camping World Holdings Inc.","CWH","121","3","B"
"Cushman  Wakefield PLC","CWK","139","4","F"
"Casella Waste Systems, Inc.","CWST","152","3","C"
"Cemex S.A.B. de C.V.","CX","219","3","C"
"Columbia Property Trust, Inc.","CXP","80","3","C"
"CyberOptics Corporation","CYBE","63","2","B"
"CyberArk Software Ltd.","CYBR","59","3","F"
"China Yuchai International Limited","CYD","165","3","A"
"Community Health Systems, Inc.","CYH","177","3","C"
"CryoPort, Inc.","CYRX","206","3","C"
"Citizens Financial Services Inc.","CZFS","219","2","C"
"Caesars Entertainment Corporation","CZR","120","4","F"
"Citizens Community Bancorp, Inc.","CZWI","181","4","A"
"Cosan Limited","CZZ","81","4","A"
"Dominion Energy Inc.","D","76","3","C"
"Danaos Corporation","DAC","69","3","B"
"Delta Air Lines, Inc.","DAL","135","3","D"
"Dana Incorporated","DAN","165","3","F"
"Youdao, Inc. Unsponsored ADR","DAO","75","3","F"
"Dassault Systemes SA","DASTY","81","4","C"
"Endava PLC Sponsored ADR","DAVA","81","3","B"
"Deutsche Bank Aktiengesellschaft","DB","165","3","F"
"Diebold Nixdorf, Incorporated","DBD","191","4","C"
"Designer Brands Inc.","DBI","195","3","A"
"DBS Group Holdings Ltd","DBSDY","165","2","B"
"DCC PLC SHS","DCCPF","56","3","A"
"Donaldson Company, Inc.","DCI","152","4","A"
"NTT DOCOMO, Inc","DCMYY","121","2","A"
"Ducommun Incorporated","DCO","211","3","C"
"Dime Community Bancshares, Inc.","DCOM","181","3","C"
"DuPont de Nemours, Inc.","DD","192","4","B"
"Daimler AG","DDAIF","243","5","D"
"Dillards, Inc.","DDS","167","3","A"
"Deere  Company","DE","223","4","F"
"Easterly Government Properties, Inc.","DEA","80","3","C"
"Deckers Outdoor Corporation","DECK","235","4","B"
"Douglas Emmett, Inc.","DEI","80","3","C"
"Dell Technologies Inc.","DELL","81","4","A"
"Dennys Corporation","DENN","167","3","D"
"Diageo plc","DEO","167","4","B"
"Despegar.com Corp.","DESP","206","3","F"
"Donnelley Financial Solutions Inc.","DFIN","56","1","B"
"Discover Financial Services","DFS","227","5","C"
"Dollar General Corporation","DG","231","3","A"
"Donegal Group, Inc.","DGICA","141","2","A"
"Digi International Inc.","DGII","56","3","B"
"Quest Diagnostics Incorporated","DGX","79","3","B"
"Senior Housing Properties Trust","DHC","80","3","C"
"D.R. Horton, Inc.","DHI","245","3","B"
"Danaher Corporation","DHR","183","3","D"
"DHT Holdings, Inc.","DHT","69","2","A"
"DINE BRANDS GLOBAL, INC.","DIN","167","5","B"
"Datang International Power Generation Co.","DIPGY","76","3","A"
"The Walt Disney Company","DIS","212","5","F"
"Discovery, Inc.","DISCA","161","4","B"
"DISH Network Corporation","DISH","126","3","C"
"D S SMITH PLC","DITHF","152","3","A"
"Delek US Holdings, Inc.","DK","180","3","C"
"DAIKIN INDS LTD","DKILY","121","3","A"
"Delek Logistics Partners, L.P.","DKL","81","2","A"
"DICKS Sporting Goods, Inc.","DKS","192","4","A"
"Deutsche Lufthansa AG","DLAKY","135","3","B"
"Dolby Laboratories","DLB","134","4","B"
"DLH Holdings Corp.","DLHC","203","3","A"
"Dynagas LNG Partners LP","DLNG","206","3","A"
"Delphi Technologies PLC","DLPH","75","3","D"
"Dolphin Digital Media Inc.","DLPN","75","3","C"
"Digital Realty Trust, Inc.","DLR","80","3","F"
"Duluth Holdings Inc.","DLTH","195","3","A"
"Dollar Tree, Inc.","DLTR","231","3","A"
"Dongfeng Motor Group Co.","DNFGY","243","4","B"
"DNB ASA","DNHBY","165","3","F"
"Dunkin Brands Group, Inc.","DNKN","167","4","F"
"NOW Inc.","DNOW","81","3","B"
"Denso Corp.","DNZOY","165","3","A"
"Physicians Realty Trust","DOC","80","3","D"
"DocuSign Inc.","DOCU","75","3","B"
"BRP Inc.","DOOO","165","4","A"
"Masonite International Corporation","DOOR","245","4","D"
"Dorman Products, Inc.","DORM","229","4","D"
"Dover Corporation","DOV","219","4","C"
"Dow Inc.","DOW","192","5","B"
"Amdocs Limited","DOX","81","3","A"
"DouYu International Holdings Limited Sponsored ADR","DOYU","120","1","A"
"Deutsche Post AG","DPSGY","206","4","A"
"Dominos Pizza Inc","DPZ","167","2","B"
"DAQO New Energy Corp.","DQ","150","3","A"
"Duke Realty Corporation","DRE","80","3","F"
"Diamondrock Hospitality Company","DRH","80","3","F"
"Darden Restaurants, Inc.","DRI","167","3","A"
"DrilQuip, Inc.","DRQ","81","3","F"
"DIRTT Environmental Solutions Ltd.","DRTT","203","3","C"
"DISCO CORP","DSCSY","81","1","C"
"DSV AS UNS ADR","DSDVY","206","2","B"
"The Descartes Systems Group Inc.","DSGX","81","3","C"
"Daseke, Inc.","DSKE","206","3","A"
"DSP Group, Inc.","DSPG","50","3","F"
"Diamond S Shipping Inc.","DSSI","69","2","A"
"Diana Shipping inc.","DSX","69","4","C"
"Dynatrace, Inc.","DT","81","2","C"
"DTE Energy Company","DTE","76","3","B"
"Deutsche Telekom AG","DTEGY","72","3","A"
"Duke Energy Corporation","DUK","76","3","B"
"DaVita Inc.","DVA","79","2","A"
"Campari Group","DVDCY","167","3","F"
"Deutsche Wohnen AG","DWHHF","139","3","D"
"Dynex Capital, Inc.","DX","203","4","B"
"DXC Technology Company.","DXC","81","4","A"
"DexCom, Inc.","DXCM","69","2","D"
"DXP Enterprises, Inc.","DXPE","219","3","B"
"Daxor Corporation","DXR","79","2","B"
"Dycom Industries, Inc.","DY","76","2","A"
"Dynatronics Corporation","DYNT","69","4","C"
"DASAN Zhone Solutions, Inc.","DZSI","81","3","C"
"Eni SpA","E","148","3","C"
"Airbus Group","EADSY","139","3","A"
"GrafTech International Ltd.","EAF","227","5","B"
"Eastside Distilling, Inc.","EAST","167","3","D"
"Brinker International, Inc.","EAT","167","5","A"
"Erste Group Bank AG","EBKDY","165","5","F"
"Eagle Bancorp Montana, Inc.","EBMT","236","2","A"
"Meridian Bancorp, Inc.","EBSB","181","3","D"
"Ecopetrol S.A.","EC","236","3","D"
"Eagle Point Credit Company Inc.","ECC","161","2","C"
"Echo Global Logistics, Inc.","ECHO","206","3","B"
"Electricite de France SA","ECIFY","76","3","D"
"Ecolab Inc.","ECL","150","4","D"
"US Ecology, Inc.","ECOL","183","3","B"
"ChannelAdvisor Corporation","ECOM","56","1","B"
"Encore Capital Group Inc","ECPG","227","2","A"
"Consolidated Edison Inc","ED","76","3","B"
"EDAP TMS S.A.","EDAP","69","4","F"
"Empresa Distribuidora Y Comercializadora Norte S.A. Edenor","EDN","76","3","C"
"Energias de Portugal","EDPFY","76","3","B"
"Euronet Worldwide, Inc.","EEFT","152","5","D"
"Emerald Expositions Events, Inc.","EEX","212","3","C"
"Ellington Financial LLC","EFC","131","4","F"
"Enterprise Financial Services Corporation","EFSC","236","3","C"
"Equifax, Inc.","EFX","191","4","F"
"Eagle Bancorp, Inc.","EGBN","219","4","B"
"Eagle Bulk Shipping Inc.","EGLE","69","4","F"
"EastGroup Properties, Inc.","EGP","80","3","C"
"Eagle Pharmaceuticals, Inc.","EGRX","68","3","D"
"EHang Holdings Limited Unsponsored ADR","EH","165","3","C"
"Encompass Health Corporation","EHC","79","3","D"
"eHealth, Inc.","EHTH","81","1","F"
"Employers Holdings Inc","EIG","195","5","D"
"Endurance International Group Holdings, Inc.","EIGI","56","4","B"
"Edison International","EIX","76","3","C"
"easyjet PLC","EJTTF","135","3","A"
"Ekso Bionics Holdings, Inc.","EKSO","69","2","C"
"Elekta AB","EKTAY","69","3","D"
"The Estee Lauder Companies Inc.","EL","163","3","D"
"Elanco Animal Health Incorporated","ELAN","79","4","F"
"e.l.f. Beauty Inc.","ELF","163","3","B"
"Endologix, Inc.","ELGX","167","3","D"
"Electromed, Inc.","ELMD","69","3","B"
"ELEMENTIS","ELMTY","150","3","A"
"Companhia Paranaense de Energia COPEL","ELP","76","5","B"
"Equity Lifestyle Properties, Inc.","ELS","126","3","D"
"Electrolux AB","ELUXY","144","3","B"
"Elevate Credit, Inc.","ELVT","227","3","A"
"Callaway Golf Company","ELY","135","3","F"
"EMCOR Group, Inc.","EME","76","4","C"
"EMCORE Corporation","EMKR","126","3","D"
"Eastman Chemical Company","EMN","192","3","C"
"Emerson Electric Co.","EMR","148","3","A"
"Enable Midstream Partners, LP","ENBL","81","3","A"
"EnLink Midstream, LLC","ENLC","180","2","A"
"Enphase Energy, Inc.","ENPH","50","2","C"
"Enersys","ENS","148","4","A"
"Entegris, Inc.","ENTG","126","4","F"
"Envestnet, Inc","ENV","191","3","D"
"Enova International, Inc.","ENVA","227","3","A"
"Evolus, Inc.","EOLS","68","3","F"
"E.ON SE","EONGY","76","3","A"
"Enerpac Tool Group Corp.","EPAC","195","3","B"
"EPAM Systems, Inc.","EPAM","81","4","C"
"Bottomline Technologies, Inc.","EPAY","81","3","D"
"Enterprise Products Partners L.P.","EPD","81","3","A"
"EPR Properties","EPR","181","4","D"
"Essential Properties Realty Trust, Inc.","EPRT","139","3","B"
"Equity Bancshares, Inc.","EQBK","219","5","D"
"Equity Commonwealth","EQC","80","3","D"
"Equitable Holdings, Inc.","EQH","152","3","B"
"Equinix, Inc.","EQIX","181","3","C"
"Equity Residential","EQR","126","4","D"
"Eldorado Resorts, Inc.","ERI","120","3","F"
"Ericsson","ERIC","59","2","B"
"Erie Indemnity Company","ERIE","81","4","F"
"Energy Recovery, Inc.","ERII","152","3","F"
"EmbraerEmpresa Brasileira de Aeronautica","ERJ","139","4","B"
"Eversource Energy","ES","76","2","C"
"ESCO Technologies Inc.","ESE","148","3","D"
"Element Solutions Inc","ESI","150","3","B"
"EssilorLuxottica Societe anonyme","ESLOY","68","4","D"
"Elbit Systems Ltd.","ESLT","211","2","B"
"Essent Group Ltd.","ESNT","131","4","D"
"Esquire Financial Holdings, Inc.","ESQ","219","4","B"
"Empire State Realty Trust, Inc.","ESRT","80","3","B"
"Essex Property Trust, Inc.","ESS","126","3","D"
"ESSA Bancorp, Inc.","ESSA","181","3","B"
"Establishment Labs Holdings Inc.","ESTA","63","3","F"
"Elastic N.V.","ESTC","75","3","F"
"Energy Transfer LP","ET","81","3","B"
"ETRADE Financial Corporation","ETFC","150","3","A"
"Ethan Allen Interiors Inc.","ETH","192","3","B"
"Entercom Communications Corporation","ETM","161","3","A"
"Eaton Corporation, PLC","ETN","148","4","C"
"Entergy Corporation","ETR","76","3","B"
"Equitrans Midstream Corporation","ETRN","81","4","B"
"Euronav NV","EURN","69","3","A"
"Eutelsat Communications","EUTLF","74","3","B"
"Eaton Vance Corporation","EV","161","4","D"
"Evans Bancorp, Inc.","EVBN","219","4","B"
"EverQuote, Inc.","EVER","141","2","B"
"EVO Payments, Inc.","EVOP","191","3","F"
"Evercore Inc","EVR","150","5","F"
"Everi Holdings Inc.","EVRI","56","3","F"
"EVRAZ PLC","EVRZF","167","3","A"
"Evertec, Inc.","EVTC","191","4","D"
"Edwards Lifesciences Corporation","EW","69","3","B"
"East West Bancorp, Inc.","EWBC","141","3","D"
"Exelon Corporation","EXC","76","3","C"
"EXFO Inc","EXFO","67","4","A"
"Endeavour Silver Corporation","EXK","81","3","D"
"ExlService Holdings, Inc.","EXLS","223","4","F"
"Eagle Materials Inc","EXP","219","4","A"
"Expeditors International of Washington, Inc.","EXPD","206","4","B"
"Experian PLC","EXPGY","152","4","B"
"Exp World Holdings, Inc.","EXPI","139","1","A"
"Exponent, Inc.","EXPO","152","3","F"
"Express, Inc.","EXPR","195","3","A"
"Extra Space Storage Inc","EXR","80","3","D"
"Exterran Corporation","EXTN","81","4","A"
"Extreme Networks, Inc.","EXTR","56","3","B"
"National Vision Holdings, Inc.","EYE","68","3","B"
"Second Sight Medical Products, Inc.","EYES","69","3","D"
"EZCORP, Inc.","EZPW","227","2","B"
"Ford Motor Company","F","240","3","F"
"First American Financial Corporation","FAF","141","4","C"
"Fanuc Corp.","FANUY","81","3","D"
"FARO Technologies, Inc.","FARO","81","1","B"
"Fastenal Company","FAST","233","3","B"
"Flagstar Bancorp, Inc.","FBC","181","3","D"
"Fortune Brands Home  Security, Inc.","FBHS","62","4","D"
"First Business Financial Services, Inc.","FBIZ","236","3","D"
"FB Financial Corporation","FBK","219","4","F"
"Foundation Building Materials, Inc.","FBM","203","3","A"
"The First Bancshares, Inc.","FBMS","247","4","C"
"First Bancorp","FBNC","247","4","C"
"First BanCorp.","FBP","247","3","C"
"Franklin Covey Company","FC","152","3","A"
"Fiat Chrysler Automobiles N.V.","FCAU","243","3","F"
"First Community Corporation","FCCO","247","4","C"
"1st Constitution Bancorp NJ","FCCY","219","5","F"
"First Commonwealth Financial Corporation","FCF","219","3","C"
"First Cash, Inc.","FCFS","227","4","C"
"FTI Consulting, Inc.","FCN","152","3","D"
"Four Corners Property Trust, Inc.","FCPT","80","3","F"
"First Defiance Financial Corp.","FDEF","181","5","D"
"FactSet Research Systems Inc.","FDS","152","3","B"
"Fidus Investment Corporation","FDUS","152","3","B"
"FedEx Corporation","FDX","59","4","A"
"FirstEnergy Corporation","FE","76","2","F"
"Franklin Electric Co., Inc.","FELE","148","4","D"
"Wolseley PLC","FERGY","219","3","A"
"Forum Energy Technologies, Inc.","FET","81","4","C"
"FireEye, Inc.","FEYE","59","2","F"
"First Financial Bancorp.","FFBC","236","5","F"
"FBL Financial Group, Inc.","FFG","141","3","C"
"Flushing Financial Corporation","FFIC","181","4","D"
"First Financial Bankshares, Inc.","FFIN","218","3","F"
"First Financial Northwest, Inc.","FFNW","141","3","D"
"First Foundation Inc.","FFWM","218","3","D"
"FGL Holdings","FG","177","4","F"
"First Guaranty Bancshares, Inc.","FGBI","247","3","D"
"FUJITSU GENERAL","FGELF","121","3","C"
"Flight Centre Ltd.","FGETF","121","3","C"
"Firstgroup PLC Unsponsored ADR","FGROY","206","3","A"
"First Hawaiian, Inc.","FHB","141","5","F"
"Federated Hermes, Inc.","FHI","161","3","B"
"First Horizon National Corporation","FHN","247","5","F"
"First Interstate BancSystem, Inc.","FIBK","236","4","D"
"Fair Isaac Corporation","FICO","81","4","C"
"PPDAI Group Inc. Sponsored ADR","FINV","152","3","F"
"Fidelity National Information Services, Inc.","FIS","191","3","C"
"Financial Institutions, Inc.","FISI","219","5","D"
"Fiserv, Inc.","FISV","191","3","C"
"Fitbit, Inc.","FIT","135","3","F"
"Fifth Third Bancorp","FITB","247","5","D"
"Five Below, Inc.","FIVE","192","4","B"
"Comfort Systems USA, Inc.","FIX","225","4","A"
"National Beverage Corp.","FIZZ","121","3","B"
"Foot Locker, Inc.","FL","195","5","A"
"Fluidigm Corporation","FLDM","69","3","D"
"Flex Ltd.","FLEX","121","4","C"
"FULGENT GENETIC","FLGT","69","4","B"
"The First of Long Island Corporation","FLIC","219","3","D"
"FLIR Systems, Inc.","FLIR","81","3","B"
"Full House Resorts, Inc.","FLL","120","3","C"
"Osprey Energy Acquisition Corp.","FLMN","78","3","C"
"FLUENT, INC.","FLNT","195","4","A"
"SPX FLOW, Inc.","FLOW","148","3","F"
"Fluor Corporation","FLR","160","4","C"
"Flowserve Corporation","FLS","219","5","C"
"FleetCor Technologies, Inc.","FLT","191","3","C"
"Fly Leasing Limited","FLY","243","4","C"
"Farmers  Merchants Bancorp Inc.","FMAO","219","3","C"
"First MidIllinois Bancshares, Inc.","FMBH","219","3","B"
"First Midwest Bancorp, Inc.","FMBI","236","5","F"
"FMC Corporation","FMC","192","3","F"
"Freddie Mac","FMCC","131","4","F"
"Farmers National Banc Corp.","FMNB","236","4","D"
"Fresenius Medical Care AG  Co. KGaA","FMS","69","3","B"
"Fomento Economico Mexicano S.A.B. de C.V.","FMX","121","3","C"
"Fabrinet","FN","144","3","A"
"F.N.B. Corporation","FNB","247","4","F"
"Floor  Decor Holdings, Inc.","FND","163","5","C"
"Fidelity National Financial, Inc.","FNF","141","4","B"
"FEDNAT HOLDING CO","FNHC","152","4","A"
"Fresnillo PLC","FNLPF","81","3","C"
"Fannie Mae","FNMA","131","2","C"
"Focus Financial Partners Inc.","FOCS","161","3","C"
"Ferro Corporation","FOE","150","3","F"
"Forestar Group Inc","FOR","183","3","F"
"Forrester Research, Inc.","FORR","167","3","B"
"Fox Corporation","FOXA","161","3","A"
"Fox Factory Holding Corp.","FOXF","240","4","F"
"Five Point Holdings, LLC","FPH","183","3","F"
"Farmland Partners Inc.","FPI","80","1","C"
"PROVIDENT FIN","FPLPY","227","3","A"
"First Industrial Realty Trust, Inc.","FR","80","4","F"
"First Bank","FRBA","219","3","D"
"Republic First Bancorp, Inc.","FRBK","219","1","F"
"First Republic Bank","FRC","141","3","F"
"Fiesta Restaurant Group, Inc.","FRGI","167","4","D"
"First Merchants Corporation","FRME","236","4","C"
"Frontline Ltd.","FRO","69","2","A"
"Federal Realty Investment Trust","FRT","181","3","F"
"FORTERRA INC","FRTA","219","2","B"
"Franklin Financial Network, Inc.","FSB","247","3","D"
"FS Bancorp, Inc.","FSBW","141","3","F"
"ForeScout Technologies, Inc.","FSCT","81","3","D"
"Flexible Solutions International Inc.","FSI","150","3","C"
"FS KKR Capital Corp.","FSK","152","3","B"
"First Solar, Inc.","FSLR","50","3","D"
"Fortuna Silver Mines Inc.","FSM","81","3","D"
"FRESENIUS SECO","FSNUY","79","3","B"
"Franklin Street Properties Corp.","FSP","80","3","D"
"Federal Signal Corporation","FSS","183","3","C"
"L.B. Foster Company","FSTR","167","3","D"
"Fortescue Metals Group Ltd.","FSUGY","81","3","A"
"FirstService Corporation","FSV","139","4","B"
