Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"ALTA EQUIPMENT","ALTG","219","2","F"
"Altair Engineering Inc.","ALTR","160","3","F"
"Autoliv, Inc.","ALV","165","4","A"
"Alexanders, Inc.","ALX","80","3","D"
"Alithya Group Inc.","ALYA","75","3","B"
"Antero Midstream Corporation","AM","81","2","B"
"Amadeus IT Group SA","AMADY","75","3","F"
"Amalgamated Bank","AMAL","219","3","D"
"Applied Materials, Inc.","AMAT","81","3","A"
"AMC Entertainment Holdings, Inc.","AMC","121","3","A"
"Amcor PLC","AMCR","126","2","B"
"AMC Networks Inc.","AMCX","161","4","B"
"AMETEK, Inc.","AME","135","3","B"
"Amedisys, Inc.","AMED","79","3","F"
"Apollo Medical Holdings, Inc.","AMEH","63","3","D"
"Affiliated Managers Group, Inc.","AMG","161","3","C"
"American Homes 4 Rent","AMH","126","4","C"
"AssetMark Financial Holdings, Inc.","AMK","161","3","D"
"A P MOLLARMRSK","AMKBY","69","3","B"
"AMN Healthcare Services Inc","AMN","63","4","C"
"American National Bankshares, Inc.","AMNB","247","3","C"
"Allied Motion Technologies, Inc.","AMOT","234","5","F"
"Ameriprise Financial, Inc.","AMP","161","2","A"
"American River Bankshares","AMRB","141","3","D"
"Amyris, Inc.","AMRS","150","3","D"
"American Superconductor Corporation","AMSC","144","2","B"
"AMERISAFE, Inc.","AMSF","195","3","C"
"American Software, Inc.","AMSWA","81","2","B"
"American Tower Corporation REIT","AMT","80","3","D"
"Mercantil Bank Holding Corporation","AMTB","247","3","F"
"TD Ameritrade Holding Corporation","AMTD","150","3","A"
"American Woodmark Corporation","AMWD","245","5","A"
"America Movil, S.A.B. de C.V.","AMX","121","4","F"
"AutoNation, Inc.","AN","207","3","B"
"The Andersons, Inc.","ANDE","81","3","D"
"Arista Networks, Inc.","ANET","67","3","D"
"Abercrombie  Fitch Company","ANF","195","3","A"
"AngioDynamics, Inc.","ANGO","69","2","F"
"ACERINOX SA ADR","ANIOY","167","3","A"
"Anta Sports Products Ltd.","ANPDF","235","3","C"
"ANSYS, Inc.","ANSS","81","3","F"
"Anthem, Inc.","ANTM","81","3","A"
"Australia  New Zealand Banking Group Ltd.","ANZBY","165","3","C"
"American Outdoor Brands Corporation","AOBC","135","3","B"
"Aon plc","AON","81","3","C"
"A. O. Smith Corporation","AOS","148","3","D"
"AO WORLD PLC","AOWDF","144","2","B"
"AmpcoPittsburgh Corporation","AP","227","3","A"
"Artisan Partners Asset Management Inc.","APAM","161","3","A"
"Air Products and Chemicals, Inc.","APD","192","3","B"
"Alps Electric","APELY","133","4","A"
"Aperam","APEMY","167","3","A"
"Apollo Endosurgery, Inc.","APEN","69","3","D"
"Amphenol Corporation","APH","81","3","B"
"Aphria Inc.","APHA","68","2","F"
"Apple Hospitality REIT, Inc.","APLE","80","3","F"
"Apollo Global Management, LLC","APO","161","3","B"
"Apogee Enterprises, Inc.","APOG","249","4","A"
"Preferred Apartment Communities, Inc.","APTS","126","3","D"
"Aptiv PLC","APTV","75","5","F"
"Apergy Corporation","APY","160","3","A"
"Bovie Medical Corporation","APYX","68","1","F"
"Aqua Metals, Inc.","AQMS","183","3","F"
"Algonquin Power  Utilities Corp.","AQN","76","2","D"
"EVOQUA WATR TEC","AQUA","75","3","A"
"American Renal Associates Holdings, Inc","ARA","79","2","B"
"Accuray Incorporated","ARAY","69","2","D"
"ArcBest Corporation","ARCB","207","3","B"
"Ares Capital Corporation","ARCC","152","3","F"
"Arch Coal Inc.","ARCH","195","3","D"
"Arcos Dorados Holdings Inc.","ARCO","167","3","F"
"Ardagh Group S.A.","ARD","207","3","C"
"Alexandria Real Estate Equities, Inc.","ARE","80","3","D"
"Ares Management L.P.","ARES","161","3","F"
"Aggreko PLC","ARGKF","207","2","A"
"Argo Group International Holdings, Ltd.","ARGO","141","5","D"
"Apollo Commercial Real Estate Finance","ARI","203","4","D"
"Arkema SA","ARKAY","192","4","A"
"Alliance Resource Partners, L.P.","ARLP","63","3","C"
"Archrock, Inc.","AROC","78","2","A"
"Arrow Financial Corporation","AROW","219","4","D"
"ARMOUR Residential REIT, Inc.","ARR","203","4","F"
"Arch Therapeutics, Inc.","ARTH","69","2","F"
"Arrow Electronics, Inc.","ARW","236","3","A"
"Assa Abloy AB","ASAZY","62","3","A"
"Associated BancCorp","ASB","236","4","D"
"Ardmore Shipping Corporation","ASC","69","2","A"
"Aisin Seiki Co. Ltd. Unsponsored ADR","ASEKY","165","3","A"
"ASGN Incorporated","ASGN","81","3","A"
"Ashland Global Holdings Inc.","ASH","150","3","B"
"Ashtead Group PLC","ASHTY","207","5","B"
"AdvanSix Inc.","ASIX","150","3","A"
"Avino Silver","ASM","81","4","D"
"ASML Holding N.V.","ASML","81","3","F"
"Aspen Aerogels, Inc.","ASPN","203","3","C"
"Altisource Portfolio Solutions S.A.","ASPS","203","3","B"
"Grupo Aeroportuario del Sureste, S.A. de C.V.","ASR","206","4","B"
"Astec Industries, Inc.","ASTE","229","3","A"
"Amtech Systems, Inc.","ASYS","50","2","B"
"Atlantic Power Corporation","AT","76","1","B"
"Atlantia SpA","ATASY","76","3","D"
"Seaspan Corporation","ATCO","161","3","A"
"Auto Trader Group","ATDRY","243","3","C"
"Alphatec Holdings, Inc.","ATEC","69","3","F"
"A10 Networks, Inc.","ATEN","81","3","C"
"Advantest Corp.","ATEYY","135","3","B"
"Athene Holding Ltd.","ATH","177","3","C"
"Allegheny Technologies Incorporated","ATI","195","3","F"
"Atlas Copco AB","ATLKY","219","4","D"
"ATN International, Inc.","ATNI","50","2","C"
"AptarGroup, Inc.","ATR","126","4","B"
"AtriCure, Inc.","ATRC","68","3","F"
"Astronics Corporation","ATRO","211","3","B"
"Antares Pharma, Inc.","ATRS","167","3","C"
"Air Transport Services Group, Inc","ATSG","59","2","A"
"Atento S.A.","ATTO","223","4","C"
"Altice USA, Inc.","ATUS","67","3","B"
"Atlantic Union Bankshares Corporation","AUB","219","4","D"
"AU Optronics Corp","AUOTY","144","3","B"
"Autobytel Inc.","AUTO","240","3","C"
"Avista Corporation","AVA","76","3","B"
"Grupo Aval Acciones y Valores S.A.","AVAL","161","4","C"
"AeroVironment, Inc.","AVAV","211","3","D"
"AvalonBay Communities, Inc.","AVB","126","4","F"
"American Vanguard Corporation","AVD","150","3","F"
"Avinger, Inc.","AVGR","69","1","C"
"Avianca Holdings S.A.","AVH","59","3","F"
"Avid Technology, Inc.","AVID","81","4","F"
"AVANOS MEDICAL, INC.","AVNS","69","3","F"
"Aviat Networks, Inc.","AVNW","59","3","A"
"Avnet, Inc.","AVT","236","4","A"
"Avantor, Inc.","AVTR","63","3","A"
"Aviva PLC","AVVIY","177","3","A"
"Avery Dennison Corporation","AVY","231","3","C"
"Avaya Holdings Corp.","AVYA","81","3","A"
"Armstrong World Industries, Inc.","AWI","203","4","C"
"AXOS FINANCIAL, INC","AX","152","3","A"
"Axa Sa","AXAHY","141","4","B"
"Accelerate Diagnostics, Inc.","AXDX","69","1","F"
"Anixter International Inc.","AXE","236","4","B"
"AxoGen, Inc.","AXGN","69","3","F"
"American Axle  Manufacturing Holdings, Inc.","AXL","165","3","D"
"Axonics Modulation Technologies, Inc.","AXNX","69","2","F"
"American Express Company","AXP","152","3","D"
"Axis Capital Holdings Limited","AXS","141","5","F"
"Axalta Coating Systems Ltd.","AXTA","150","5","F"
"Alexco Resource Corp","AXU","81","1","F"
